30
20
7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,12,2,2,6,
8,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,2,12,2,2,6,
8,1,1,3,3,3,3,3,1,3,2,12,12,2,3,3,2,12,12,2,3,1,1,1,3,2,12,12,12,6,
8,1,1,3,2,2,2,3,1,3,2,12,12,2,3,3,2,12,12,2,3,1,1,1,3,2,2,2,2,6,
8,1,1,3,2,12,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,6,
8,1,1,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,
8,1,1,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,1,3,3,3,1,3,3,3,1,1,6,
8,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,1,3,2,3,1,1,3,1,1,1,6,
8,1,1,1,1,1,1,1,1,1,1,1,1,1,2,12,3,12,2,1,3,12,3,1,1,3,1,1,1,6,
8,1,1,1,3,3,3,3,3,3,3,1,1,1,2,2,3,2,2,1,3,12,3,1,1,3,1,1,1,6,
8,1,1,1,3,2,2,2,2,2,3,1,1,1,3,3,3,3,3,1,3,2,3,1,1,3,1,1,1,6,
8,1,3,3,3,2,12,12,12,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,
8,1,3,2,3,2,12,2,12,2,3,1,3,3,3,3,3,1,1,3,2,2,3,1,3,3,3,3,1,6,
8,1,3,12,3,2,12,12,12,2,3,1,3,2,2,2,3,1,1,3,12,12,3,1,3,2,12,2,1,6,
8,1,3,2,3,2,2,2,2,3,3,1,3,2,12,2,3,1,1,3,12,12,3,1,3,3,3,3,1,6,
8,1,3,3,3,3,3,3,3,3,1,1,3,2,12,2,3,1,1,3,2,2,3,1,2,12,2,3,1,6,
8,1,1,1,1,1,1,1,1,1,1,1,3,2,12,2,3,1,1,3,3,3,3,1,3,3,3,3,1,6,
8,1,1,1,1,1,1,1,1,1,3,3,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,6,
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11

